Initial parameters - (54,45) cm
Number of elements - (Adaptive perimeter (cm) , Fixed perimeter(cm))
4-(69.17963233763507,0.8907248798837134)
3-(139.57834215033168,89.28640685856728)
3-(93.63861230955771,32.44902406766852)
2-(311.37892960538176,262.21383545716355)
5-(106.3463436070786,2.3287520497900425)
2-(101.86184149499526,38.61937501973103)
3-(165.02365926479854,64.64509486947817)
3-(133.94995259706926,82.73379425113103)
2-(91.03005122258833,18.34358714812863)
3-(324.70114691983815,114.29480371578303)
2-(116.04537027429492,61.941428577782695)
4-(272.1261936251459,6.5258080006030195)
5-(160.7240775695334,3.1132993233807924)
3-(94.79097474706838,5.154796209810365)
3-(89.87523648654427,14.224857573409881)
3-(235.9551652741126,173.67847411160093)
3-(244.8001108445769,138.5002211909888)
4-(239.26871335381497,45.68950305248727)
3-(176.4751908192351,96.88127822525355)
4-(81.26938378462151,3.3171177054947556)
3-(181.12644538870427,80.95803240858751)
2-(95.96186797708141,15.833708216218433)
3-(123.88697510006429,38.8117089912482)
3-(259.07240265759856,15.631184070961252)
4-(313.9832679234816,19.46696261125586)
2-(85.83254285541064,5.829376446854586)
2-(105.01822437753536,48.2226540509091)
2-(112.61009420767166,55.69170236414263)
3-(149.87084049222062,36.95445381999961)
4-(68.69520676095965,1.7689752813981023)
4-(287.4432021266743,45.42066746407656)
4-(124.07247642159717,58.0339002617148)
5-(131.21732121649637,21.150160327658956)
5-(137.64969913484768,6.0906946519844105)
2-(122.03340302159803,88.5044234785352)
6-(400.38781817791875,69.81120932332944)
2-(253.58406246141124,238.34361797291237)
4-(67.7799622936908,0.9501863872947308)
4-(230.99327083084953,141.76482325358998)
5-(227.79200492257735,82.95067349067439)
3-(90.37872296594819,18.297532870406688)
2-(129.8803390416017,97.41025428120128)
2-(127.0917723446009,68.32101056675077)
2-(219.71020359777384,166.2756762563982)
4-(80.91886957090627,2.878536862206152)
4-(99.16287959553317,17.3258562862084)
2-(175.45372980723957,122.44912968776654)
3-(177.3440080217275,83.29268478515577)
4-(67.35638254682938,14.485243558457933)
4-(85.50869885386652,22.124628374776652)
2-(116.00006132866254,87.75134173049084)
3-(189.56441044249468,79.97780332852109)
2-(139.8053027778027,87.54411748894665)
3-(121.91466491082322,49.198379187959695)
3-(155.09318260630164,86.08844045317393)
3-(202.5453759197975,46.0029530275357)
4-(119.30935753825878,2.4225250261575386)
2-(102.45696104874548,33.38771616265089)
3-(264.02272961745797,197.24050977304213)
3-(166.76183742891757,52.83845764689147)
3-(181.6879334602481,135.35141351736604)
3-(111.26092227060487,58.558380142423616)
2-(114.67799729074403,81.07056363741545)
4-(96.82934988985302,2.47487156267995)
2-(92.80440119263436,19.353681655750382)
2-(159.35521548564043,106.698709499081)
2-(132.29464472212123,132.29464472212123)
2-(80.93388094800814,4.642092922204955)
3-(128.92780330184868,48.65200124598063)
4-(312.92117932553197,4.336090244695593)
2-(128.20876045024957,112.74639738087272)
3-(244.66795691153308,1.6796427247931334)
2-(123.57221787342694,74.9955529162867)
3-(119.22871433639946,74.55900318006248)
2-(53.537820696684605,0.0)
4-(73.1310786193737,6.359224227771627)
4-(57.061880955741415,1.8019541354444657)
4-(307.64815320762324,49.69970165583903)
3-(150.80801277912624,48.15156062127311)
3-(201.9718873755821,103.2691041537759)
2-(260.76282006754855,213.28499568550194)
2-(124.60908118975541,109.27257888947783)
3-(316.5002585013843,147.45618979891077)
3-(160.26699333005516,98.74269731235626)
2-(98.85405201105843,26.91446199792176)
3-(130.29108480185303,54.17219943787066)
4-(107.01441428048342,1.716808785248397)
3-(108.89893813506734,32.639177536280684)
2-(104.84918863175584,53.92243986776014)
3-(106.09903708359776,27.82925562848466)
5-(236.72017516218347,23.073807687288642)
3-(87.61198768779397,3.2957487531458547)
3-(93.11425011678688,10.574488972253398)
4-(137.34203372843012,16.782443024172263)
2-(68.47731540091745,0.8986524330829061)
4-(104.31535723041699,36.710282509658946)
5-(269.4983213694405,36.15221384224202)
4-(331.94447787060165,125.60061324833576)
7-(200.57185752344745,17.44103108899543)
3-(111.65626879142525,20.24700340751178)
2-(92.64793752660059,17.892326559369952)
5-(140.55542064944405,9.043780417122406)
2-(81.2893375027326,3.589399318302478)
4-(85.74161058015584,0.8378659014347475)
2-(101.40024750472114,46.96432516008136)
2-(89.41507580630974,9.59690604203848)
