Initial parameters - (95,85) cm
Number of elements - (Adaptive perimeter (cm) , Fixed perimeter(cm))
2-(258.5715358653003,66.10374010115729)
2-(111.82866260619075,0.0)
3-(315.76846599617875,4.756651283835833)
3-(196.72583541461745,0.0)
2-(89.29564494637593,0.0)
3-(187.79695805128497,0.0)
4-(103.58079670998663,0.0)
3-(96.08729835447119,0.0)
2-(92.04941755203498,0.0)
3-(105.22937284520764,0.0)
5-(236.72017516218347,0.0)
3-(74.97828413406819,0.0)
3-(145.69295917326906,0.0)
4-(130.83455582109804,0.0)
2-(82.13683238377763,0.0)
4-(99.59027136283713,0.0)
5-(272.37406565234613,2.0541030592182965)
4-(330.15018339562545,0.8971472374881126)
7-(177.31714940478687,0.0)
3-(104.80801763888448,0.0)
2-(79.90271860759732,0.0)
5-(134.90305788874252,0.0)
2-(72.21026863879102,0.0)
4-(234.3231637679177,0.0)
2-(91.52706551084039,0.0)
2-(77.47746097353019,0.0)
